id,should_trigger,prompt,expected_skill,notes
test-01,true,"Set up Web API using /setup-webapi",setup-webapi,Explicit skill invocation
test-02,true,"Configure table permissions for my Power Pages site",setup-webapi,Implicit - table permissions configuration
test-03,true,"I need to set up CRUD access for my Dataverse tables",setup-webapi,Implicit - CRUD access setup
test-04,true,"Create web roles and entity permissions for customer portal",setup-webapi,Implicit - web roles and entity permissions
test-05,true,"Enable Web API access for products and orders tables",setup-webapi,Implicit - enabling Web API for specific tables
test-06,false,"How do I call the Web API from JavaScript?",setup-webapi,Negative control - usage question not setup
test-07,false,"Why is my Web API returning 403 forbidden?",setup-webapi,Negative control - troubleshooting not setup
test-08,false,"Add a new column to my Dataverse table",setup-webapi,Negative control - schema change not API setup
test-09,true,"Configure site settings for Webapi access",setup-webapi,Implicit - site settings for Web API
test-10,false,"What is the difference between table permissions and web roles?",setup-webapi,Negative control - informational question
