id,should_trigger,prompt,expected_skill,notes
test-01,true,"Integrate Web API using /integrate-webapi",integrate-webapi,Explicit skill invocation
test-02,true,"Connect my React components to the Web API",integrate-webapi,Implicit - connecting frontend to API
test-03,true,"Replace mock data with real API calls",integrate-webapi,Implicit - replacing mocks with API
test-04,true,"Hook up the product listing to fetch from Dataverse",integrate-webapi,Implicit - connecting UI to Dataverse
test-05,true,"Add API integration to display orders from the database",integrate-webapi,Implicit - API integration for data display
test-06,false,"Why is my API call returning empty data?",integrate-webapi,Negative control - troubleshooting not integration
test-07,false,"How do I format the API response?",integrate-webapi,Negative control - data formatting question
test-08,false,"Set up CORS for my Web API",integrate-webapi,Negative control - CORS is server config
test-09,true,"Wire up the forms to submit data via Web API",integrate-webapi,Implicit - form submission via API
test-10,false,"What's the best way to handle API errors?",integrate-webapi,Negative control - best practices question
