id,should_trigger,prompt,expected_skill,notes
test-01,true,"Create a Power Pages site using /create-site",create-site,Explicit skill invocation with slash command
test-02,true,"Build a React Power Pages site for customer support portal",create-site,Implicit invocation - mentions Power Pages site creation
test-03,true,"I need to create a new portal website using Vite and React for my company",create-site,Implicit invocation - portal/website creation
test-04,true,"Set up a new Power Pages code site with Angular framework",create-site,Explicit Power Pages code site with framework choice
test-05,true,"Create a demo app for Power Pages showcase",create-site,Demo app creation for Power Pages
test-06,false,"Add Tailwind CSS to my existing React application",create-site,Negative control - modifying existing app not creating new
test-07,false,"How do I deploy my React app to Azure?",create-site,Negative control - deployment question not site creation
test-08,false,"Fix the bug in my Power Pages site login form",create-site,Negative control - bug fix not site creation
test-09,true,"Scaffold a new Power Pages SPA with Vue.js",create-site,Implicit invocation - scaffold SPA for Power Pages
test-10,false,"What frameworks does Power Pages support?",create-site,Negative control - informational question only
